year,month,day,date_decimal,snvalue,snerror,nb_observations,
2021,9,28,2021.741,57,11.1,43,
2021,9,29,2021.744,70,13.4,45,
2021,9,30,2021.747,45,7,40,
2021,10,1,2021.749,38,10.2,42,
2021,10,2,2021.752,34,9.1,38,
2021,10,3,2021.755,27,7.8,41,
2021,10,4,2021.758,35,7.9,52,
2021,10,5,2021.76,30,7.7,49,
2021,10,6,2021.763,26,4.4,36,
2021,10,7,2021.766,16,4.8,42,
2021,10,8,2021.768,19,5.3,55,
2021,10,9,2021.771,23,6.2,41,
2021,10,10,2021.774,38,7.6,50,
2021,10,11,2021.777,30,6,39,
2021,10,12,2021.779,17,4.1,43,
2021,10,13,2021.782,20,8.4,35,
2021,10,14,2021.785,20,5.7,39,
2021,10,15,2021.788,12,2.2,52,
2021,10,16,2021.79,11,4.8,50,
2021,10,17,2021.793,0,3,38,
2021,10,18,2021.796,17,6.4,34,
2021,10,19,2021.799,13,4.5,36,
2021,10,20,2021.801,12,3,44,
2021,10,21,2021.804,17,6.7,49,
2021,10,22,2021.807,36,9.7,43,
2021,10,23,2021.81,48,10.5,44,
2021,10,24,2021.812,40,7.7,50,
2021,10,25,2021.815,66,13.6,43,
2021,10,26,2021.818,90,12.3,52,
2021,10,27,2021.821,103,14.6,44,
2021,10,28,2021.823,97,11.4,51,
2021,10,29,2021.826,82,15.8,46,
2021,10,30,2021.829,76,14.2,32,
2021,10,31,2021.832,65,10.5,37,
2021,11,1,2021.834,51,10.5,38,
2021,11,2,2021.837,43,8.5,38,
2021,11,3,2021.84,33,7.9,42,
2021,11,4,2021.842,28,3,45,
2021,11,5,2021.845,37,3.8,45,
2021,11,6,2021.848,34,5.5,42,
2021,11,7,2021.851,30,7,43,
2021,11,8,2021.853,40,4.7,46,
2021,11,9,2021.856,44,6.2,45,
2021,11,10,2021.859,41,4.6,40,
2021,11,11,2021.862,43,6.9,37,
2021,11,12,2021.864,36,5.4,43,
2021,11,13,2021.867,27,7.9,31,
2021,11,14,2021.87,20,7.7,31,
